,en_Manchester Arena bombing,ar_Manchester Arena bombing,en_Israel–Hamas war,ar_Israel–Hamas war,he_Israel–Hamas war,en_Charlie Hebdo shooting,ar_Charlie Hebdo shooting,fr_Charlie Hebdo shooting,date
2400,50.0,23.0,58409.0,4646.0,5937.0,1356,74,662,2024-05-06
2401,71.0,13.0,74823.0,4615.0,6226.0,1421,53,910,2024-05-07
2402,51.0,16.0,62368.0,3839.0,4628.0,1296,44,774,2024-05-08
2403,112.0,23.0,55817.0,4336.0,4904.0,1720,62,622,2024-05-09
2404,42.0,12.0,53096.0,3442.0,4951.0,1200,30,544,2024-05-10
2405,45.0,23.0,55383.0,3423.0,5338.0,991,52,436,2024-05-11
2406,41.0,10.0,54560.0,2635.0,8781.0,1030,31,593,2024-05-12
2407,55.0,14.0,53143.0,2716.0,7880.0,1054,41,580,2024-05-13
2408,63.0,11.0,49711.0,3266.0,5258.0,1316,20,653,2024-05-14
2409,58.0,4.0,46397.0,3337.0,4766.0,1263,30,727,2024-05-15
2410,45.0,12.0,43892.0,3810.0,5257.0,1201,50,549,2024-05-16
2411,44.0,8.0,44299.0,2354.0,5413.0,1214,37,513,2024-05-17
2412,65.0,9.0,39509.0,3502.0,4624.0,1037,19,538,2024-05-18
2413,44.0,2.0,39482.0,3794.0,4351.0,1109,17,456,2024-05-19
2414,70.0,20.0,42825.0,3718.0,6660.0,1334,19,603,2024-05-20
2415,81.0,24.0,39803.0,3565.0,4422.0,1249,21,543,2024-05-21
2416,335.0,76.0,40907.0,3494.0,4987.0,2568,35,584,2024-05-22
2417,201.0,28.0,37759.0,3384.0,4304.0,1461,30,598,2024-05-23
2418,135.0,14.0,37260.0,3244.0,4457.0,1607,34,519,2024-05-24
2419,78.0,12.0,34061.0,3225.0,3863.0,1559,16,476,2024-05-25
2420,63.0,13.0,36865.0,3582.0,4857.0,1172,15,535,2024-05-26
2421,62.0,14.0,47314.0,3980.0,5076.0,1188,39,542,2024-05-27
2422,51.0,10.0,66041.0,4367.0,4330.0,1255,30,624,2024-05-28
2423,57.0,9.0,76421.0,4057.0,4834.0,1179,39,583,2024-05-29
2424,53.0,9.0,66334.0,3572.0,3996.0,1150,25,555,2024-05-30
2425,40.0,8.0,50781.0,3502.0,4431.0,1494,27,514,2024-05-31
2426,43.0,10.0,41767.0,3554.0,4145.0,1404,29,438,2024-06-01
2427,60.0,8.0,38861.0,4887.0,3994.0,1198,23,468,2024-06-02
2428,48.0,13.0,40888.0,3551.0,4274.0,1306,21,440,2024-06-03
2429,46.0,15.0,35738.0,4184.0,4258.0,1546,31,461,2024-06-04
2430,81.0,34.0,35579.0,3623.0,4135.0,1151,34,464,2024-06-05
2431,34.0,10.0,36236.0,3217.0,4295.0,1080,34,467,2024-06-06
2432,32.0,15.0,32877.0,3591.0,4404.0,1011,22,454,2024-06-07
2433,32.0,5.0,37785.0,3549.0,8617.0,865,38,443,2024-06-08
2434,45.0,9.0,40665.0,4301.0,5773.0,971,82,425,2024-06-09
2435,42.0,9.0,33577.0,2918.0,4294.0,1084,40,450,2024-06-10
2436,46.0,10.0,30552.0,3002.0,5848.0,2643,23,1267,2024-06-11
2437,35.0,9.0,29817.0,2932.0,5219.0,1611,35,599,2024-06-12
2438,52.0,9.0,26790.0,3242.0,4388.0,958,33,474,2024-06-13
2439,40.0,14.0,26298.0,3267.0,4001.0,942,45,514,2024-06-14
2440,40.0,9.0,25974.0,4679.0,6785.0,842,43,443,2024-06-15
2441,38.0,12.0,28015.0,2706.0,5775.0,950,28,536,2024-06-16
2442,34.0,7.0,25909.0,2577.0,4389.0,1003,28,431,2024-06-17
2443,33.0,10.0,24720.0,3242.0,3643.0,983,42,428,2024-06-18
2444,62.0,9.0,25593.0,2842.0,3908.0,1031,23,420,2024-06-19
2445,58.0,6.0,25577.0,3364.0,3274.0,1272,33,537,2024-06-20
2446,57.0,15.0,23048.0,3026.0,4570.0,1121,36,416,2024-06-21
2447,63.0,9.0,22881.0,3609.0,4670.0,1059,35,471,2024-06-22
2448,49.0,10.0,22701.0,3042.0,4048.0,1072,37,473,2024-06-23
2449,47.0,7.0,23874.0,3207.0,3570.0,1078,25,445,2024-06-24
2450,53.0,21.0,21900.0,3945.0,3347.0,1542,35,474,2024-06-25
2451,60.0,13.0,21056.0,2833.0,3203.0,1176,37,1011,2024-06-26
2452,54.0,28.0,19482.0,3705.0,3560.0,1083,27,580,2024-06-27
2453,57.0,13.0,18636.0,3565.0,3369.0,920,32,489,2024-06-28
2454,71.0,13.0,18615.0,3324.0,4175.0,969,34,440,2024-06-29
2455,34.0,7.0,19887.0,3332.0,3701.0,978,21,474,2024-06-30
2456,42.0,11.0,20724.0,3383.0,3657.0,1000,23,374,2024-07-01
2457,39.0,10.0,21789.0,3010.0,4410.0,942,13,407,2024-07-02
2458,35.0,12.0,20115.0,2616.0,4458.0,987,22,482,2024-07-03
2459,43.0,10.0,19760.0,3226.0,4163.0,1010,41,381,2024-07-04
2460,55.0,9.0,19228.0,3121.0,3897.0,859,26,320,2024-07-05
2461,45.0,13.0,17766.0,2848.0,3609.0,943,17,399,2024-07-06
2462,56.0,12.0,19073.0,2726.0,3994.0,1062,26,403,2024-07-07
2463,47.0,8.0,23386.0,2588.0,4007.0,1267,27,374,2024-07-08
2464,59.0,15.0,21826.0,3112.0,3556.0,1105,29,377,2024-07-09
2465,61.0,13.0,20445.0,2938.0,3578.0,1009,30,453,2024-07-10
2466,39.0,10.0,20066.0,5400.0,3418.0,930,27,419,2024-07-11
2467,34.0,8.0,20228.0,3588.0,3453.0,911,31,392,2024-07-12
2468,40.0,16.0,21316.0,3682.0,6246.0,838,40,461,2024-07-13
2469,44.0,9.0,19501.0,3450.0,3897.0,897,28,494,2024-07-14
2470,34.0,15.0,20263.0,3449.0,3352.0,1079,25,470,2024-07-15
2471,41.0,5.0,20480.0,3175.0,3950.0,1034,29,409,2024-07-16
2472,50.0,22.0,19497.0,12983.0,3371.0,1085,48,419,2024-07-17
2473,50.0,12.0,21414.0,5556.0,3115.0,1066,19,442,2024-07-18
2474,52.0,10.0,21247.0,3337.0,3880.0,1018,32,357,2024-07-19
2475,45.0,12.0,22352.0,2932.0,5539.0,879,36,377,2024-07-20
2476,114.0,21.0,23962.0,2989.0,4937.0,943,23,491,2024-07-21
2477,34.0,15.0,22871.0,2929.0,3991.0,930,24,469,2024-07-22
2478,46.0,9.0,25308.0,2733.0,3757.0,1045,29,473,2024-07-23
2479,61.0,14.0,26979.0,3321.0,3509.0,1073,23,381,2024-07-24
2480,63.0,19.0,28301.0,2689.0,3944.0,1201,25,490,2024-07-25
2481,47.0,10.0,24711.0,2733.0,3062.0,2369,50,452,2024-07-26
2482,51.0,17.0,24937.0,2895.0,5250.0,11249,486,732,2024-07-27
2483,50.0,10.0,26299.0,3241.0,4673.0,10664,612,682,2024-07-28
2484,65.0,19.0,24988.0,2876.0,3661.0,18811,261,612,2024-07-29
2485,106.0,12.0,25667.0,3238.0,4906.0,11998,110,544,2024-07-30
2486,76.0,9.0,58844.0,4599.0,8326.0,5832,95,503,2024-07-31
2487,68.0,8.0,47090.0,3877.0,6650.0,2454,78,400,2024-08-01
2488,48.0,14.0,32401.0,3473.0,5189.0,2026,452,427,2024-08-02
2489,56.0,7.0,29199.0,3277.0,4692.0,1702,176,425,2024-08-03
2490,84.0,12.0,31161.0,4924.0,4963.0,1534,81,454,2024-08-04
2491,52.0,9.0,32137.0,3324.0,4659.0,1500,53,397,2024-08-05
2492,63.0,9.0,31357.0,3394.0,4678.0,1283,31,339,2024-08-06
2493,163.0,24.0,28328.0,3964.0,3851.0,1596,47,368,2024-08-07
2494,370.0,42.0,24438.0,3515.0,3353.0,1574,39,368,2024-08-08
